Name,Latitude,Longitude,Tag
Continuing Education,40.010844,-105.274361,Building
Institute of Behavorial Science,40.011359,-105.274436,Building
Journalism and Mass Communication,40.011054,-105.273948,Building
Environmental Studies Program,40.010894,-105.273575,Building
Department of Anthropology,40.009255,-105.274978,Building
Macky Auditorium,40.010127,-105.272792,Building
Student Recreation Center,40.010287,-105.269388,Building
Balch Fieldhouse,40.009499,-105.267908,Building
Eaton Humanities,40.009267,-105.27184,Building
CU Heritage Center (Old Main),40.009284,-105.27335,Building
Economics Department,40.007884,-105.274559,Building
Geography Department,40.008212,-105.274216,Building
School of Education,40.007378,-105.273605,Building
Theatre and Dance,40.008154,-105.273677,Building
Loft Theatre,40.008183,-105.273398,Building
Museum of Natural History,40.007027,-105.272757,Building
Mary Rippon Outdoor Theatre,40.007259,-105.272776,Building
Hellems Arts and Sciences,40.007704,-105.27277,Building
Norlin Quadrangle,40.008392,-105.27277,Place
Hellems Lawn,40.007997,-105.272494,Place
Norlin Library,40.00879,-105.270965,Building
Laughing Goat,40.008918,-105.270228,Cafe
Department of Ecology and Evolutionary Biology,40.008979,-105.269664,Building
Department of Communication,40.007689,-105.272626,Building
Program Council,40.007093,-105.27199,Building
University Memorial Center (UMC),40.006919,-105.27162,Building
Book Store,40.006931,-105.271907,
Celestial Seasonings Cafe,40.006719,-105.271695,
Elevations Credit Union,40.006719,-105.271947,
The Connection Bowling Billards and Games,40.006501,-105.271668,
Subway,40.006631,-105.271078,
Panda Express,40.006611,-105.271137,
Ekeley Sciences,40.008203,-105.271794,Building
Earth Science and Observation Center,40.008,-105.271939,Building
Cooperative Institute for Research in Environmental Sciences,40.008049,-105.271596,Building
Cristol Chemistry and Biochemistry,40.007712,-105.270981,Building
Ketchum Arts and Sciences,40.008168,-105.270241,Building
Visual Arts Complex,40.007683,-105.270533,Building
Art Museum,40.007349,-105.269868,Building
Roser Atlas (ATLAS),40.007677,-105.26986,Building
Pekoe Sip House,40.00784,-105.269927,Cafe
